"","Plate","Tank.Number","Temperature.Number","Abs_562nm","Unique_ID","Abs_562nm_cor","TotalProtein_ug_mL","TotalProtein_ug"
"57",1,14,3,1.6949,"Plate1_Tank14_Temperature3",1.5837,1451.96876413283,36.2992191033208
"58",1,14,2,0.5103,"Plate1_Tank14_Temperature2",0.3991,316.325804570011,7.90814511425026
"59",1,14,2,0.4662,"Plate1_Tank14_Temperature2",0.355,278.964039549883,6.97410098874706
"60",1,4,4,1.4476,"Plate1_Tank4_Temperature4",1.3364,1189.15987255311,29.7289968138279
"61",1,4,4,1.3806,"Plate1_Tank4_Temperature4",1.2694,1120.77422274298,28.0193555685744
"62",1,7,5,1.8719,"Plate1_Tank7_Temperature5",1.7607,1651.54274622956,41.2885686557389
"63",1,7,5,2.2374,"Plate1_Tank7_Temperature5",2.1262,2102.33408569847,52.5583521424617
"64",1,14,4,2.0764,"Plate1_Tank14_Temperature4",1.9652,1896.4880097924,47.41220024481
"65",1,11,3,1.7104,"Plate1_Tank11_Temperature3",1.5992,1469.03468910569,36.7258672276423
"66",1,5,5,0.8611,"Plate1_Tank5_Temperature5",0.7499,624.051624219021,15.6012906054755
"67",1,5,5,0.8213,"Plate1_Tank5_Temperature5",0.7101,588.136685627851,14.7034171406963
"68",1,12,3,0.595,"Plate1_Tank12_Temperature3",0.4838,388.874508696937,9.72186271742342
"69",1,12,3,0.6015,"Plate1_Tank12_Temperature3",0.4903,394.485954124977,9.86214885312443
"70",1,7,1,0.5463,"Plate1_Tank7_Temperature1",0.4351,347.032386257654,8.67580965644134
